index,entity,supplier,ml_score,composite_score,tier,flags,shap_top3,legal_citations,fraud_label
58,Scholarship Secretariat,Orcons Systems Limited,0.8,4.8,🟢 MONITOR,"['Supplier holds 33.3% of entity awards — concentration risk', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.267)', 'award_concentration increases fraud risk (impact: 1.046)', 'supplier_frequency decreases fraud risk (impact: 0.925)']",['S.3 Act 663 (Transparency and Accountability)'],0
59,Ministry of Foreign Affairs,Unknown,4.8,15.4,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.253)', 'supplier_risk_score decreases fraud risk (impact: 1.696)', 'entity_frequency increases fraud risk (impact: 1.105)']",['S.3 Act 663 (Transparency and Accountability)'],0
60,Ghana Airport Company Ltd,Messrs. Modern Digital Electronics Limited,0.8,3.3,🟢 MONITOR,['Supplier holds 33.3% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 4.267)', 'award_concentration increases fraud risk (impact: 1.046)', 'supplier_frequency decreases fraud risk (impact: 0.925)']",['S.3 Act 663 (Transparency and Accountability)'],0
61,National Health Insurance Authority,Unknown,4.8,15.4,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.253)', 'supplier_risk_score decreases fraud risk (impact: 1.696)', 'entity_frequency increases fraud risk (impact: 1.105)']",['S.3 Act 663 (Transparency and Accountability)'],0
62,Ghana Airport Company Ltd,KNK Services Ltd,2.7,4.1,🟢 MONITOR,['Supplier holds 33.3% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 4.160)', 'award_concentration increases fraud risk (impact: 1.194)', 'method_abuse_score decreases fraud risk (impact: 0.501)']",['S.3 Act 663 (Transparency and Accountability)'],0
63,Ministry of Health,Unknown,0.4,18.2,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 60.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '80% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 1.995)', 'entity_frequency decreases fraud risk (impact: 1.930)', 'is_sole_source decreases fraud risk (impact: 0.818)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.3 Act 663 (Transparency and Accountability)']",0
64,University of Ghana (UG),Messrs. Kingdom Books and Stationery Ltd,0.4,6.2,🟢 MONITOR,"['Supplier appears in 1 Auditor-General finding(s)', '66% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 2.22 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 4.153)', 'entity_frequency decreases fraud risk (impact: 1.057)', 'supplier_frequency decreases fraud risk (impact: 0.636)']",['S.92-93 Act 663 (Procurement Offences)'],0
65,Bulk Oil Storage and Transportation Company Limited (BOST),Minuteman Facilities Services Limited,1.0,12.4,🟢 MONITOR,"['1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '3 of 15 contracts confirmed fraudulent (20% fraud rate)', '33% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.166)', 'entity_frequency decreases fraud risk (impact: 0.880)', 'supplier_frequency decreases fraud risk (impact: 0.848)']",['No specific violations flagged'],0
66,Ghana Statistical Service,Mr. Andrews Ofosuhene,0.9,4.9,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 3.892)', 'award_concentration decreases fraud risk (impact: 1.572)', 'entity_frequency increases fraud risk (impact: 0.906)']",['S.3 Act 663 (Transparency and Accountability)'],0
67,Ghana Maritime Authority,Unknown,25.4,23.7,🟢 MONITOR,"['Supplier holds 50.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 1.130)', 'entity_frequency increases fraud risk (impact: 0.876)', 'method_abuse_score decreases fraud risk (impact: 0.667)']",['S.3 Act 663 (Transparency and Accountability)'],0
68,Bulk Oil Storage and Transportation Company Limited (BOST),Unknown,26.9,31.8,🟢 MONITOR,"['Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '3 of 15 contracts confirmed fraudulent (20% fraud rate)', '33% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 1.555)', 'entity_frequency decreases fraud risk (impact: 1.393)', 'award_concentration increases fraud risk (impact: 0.893)']",['No specific violations flagged'],0
69,Korle Bu Teaching Hospital (KBTH),Messrs. DCL Laboratories and Products Limited,0.4,5.2,🟢 MONITOR,"['42% sole source rate — above acceptable threshold (S.40-41 Act 663)', 'Entity method abuse score: 0.43 — pattern of procurement rule circumvention', '85% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.227)', 'entity_frequency decreases fraud risk (impact: 1.028)', 'supplier_frequency decreases fraud risk (impact: 0.818)']",['S.40-41 Act 663 (Procurement Method Abuse)'],0
70,Ministry of Finance (MoF),Unknown,3.4,25.9,🟢 MONITOR,"['Supplier holds 46.2% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '2 of 13 contracts confirmed fraudulent (15% fraud rate)', '84% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 15.23 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 1.714)', 'entity_frequency decreases fraud risk (impact: 1.570)', 'audit_intensity decreases fraud risk (impact: 0.322)']","['S.92-93 Act 663 (Procurement Offences)', 'S.3 Act 663 (Transparency and Accountability)']",0
71,Bulk Oil Storage and Transportatio n Company Limited (BOST),Best Western Premier Accra Airport Hotel,1.3,2.0,🟢 MONITOR,['25% variation rate — elevated above normal threshold'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'method_abuse_score decreases fraud risk (impact: 0.662)', 'award_concentration increases fraud risk (impact: 0.601)']",['No specific violations flagged'],0
72,PSC Tema Shipyard Limited,Messrs. Emadan Inspection Engineering Limited,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
73,Petroleum Hub Development Corporation (PHDC),TCP/UIC Consortium,0.9,4.9,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 3.892)', 'award_concentration decreases fraud risk (impact: 1.572)', 'entity_frequency increases fraud risk (impact: 0.906)']",['S.3 Act 663 (Transparency and Accountability)'],0
74,National Service Scheme (NSS),Messers AB Power Conserve Limited,99.2,55.7,🔴 ESCALATE,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 1 confirmed fraud case(s)', '1 of 1 contracts confirmed fraudulent (100% fraud rate)', 'Average supplier risk score: 1.00 — entity consistently awards to high-risk suppliers', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score increases fraud risk (impact: 5.363)', 'award_concentration decreases fraud risk (impact: 1.181)', 'entity_frequency increases fraud risk (impact: 0.760)']",['S.3 Act 663 (Transparency and Accountability)'],1
75,National Petroleum Authority (NPA),New Century Press Ltd,1.7,13.7,🟢 MONITOR,"['Entity variation abuse rate: 33.3%', '33% variation rate — elevated above normal threshold', '33% sole source rate — above acceptable threshold (S.40-41 Act 663)', '1 sole source contract(s) confirmed fraudulent', '1 of 12 contracts confirmed fraudulent (8% fraud rate)', '83% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.061)', 'entity_frequency decreases fraud risk (impact: 1.115)', 'award_concentration increases fraud risk (impact: 0.560)']",['No specific violations flagged'],0
76,Ghana Ports and Harbours Authority (GPHA),Unknown,90.9,53.4,🔴 ESCALATE,"['Supplier holds 66.7% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '1 of 1 contracts confirmed fraudulent (100% fraud rate)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['entity_frequency increases fraud risk (impact: 2.087)', 'supplier_risk_score decreases fraud risk (impact: 1.043)', 'award_concentration increases fraud risk (impact: 0.771)']",['S.3 Act 663 (Transparency and Accountability)'],1
77,Ministry of Finance (MoF),Unknown,3.4,25.9,🟢 MONITOR,"['Supplier holds 46.2% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '2 of 13 contracts confirmed fraudulent (15% fraud rate)', '84% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 15.23 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 1.714)', 'entity_frequency decreases fraud risk (impact: 1.570)', 'audit_intensity decreases fraud risk (impact: 0.322)']","['S.92-93 Act 663 (Procurement Offences)', 'S.3 Act 663 (Transparency and Accountability)']",0
78,Ghana Cocoa Board (COCOBOD),Unknown,2.3,19.4,🟢 MONITOR,"['Supplier holds 66.7% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '1 of 3 contracts confirmed fraudulent (33% fraud rate)', '33% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 1.00 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 1.558)', 'entity_frequency decreases fraud risk (impact: 0.960)', 'method_abuse_score decreases fraud risk (impact: 0.605)']",['S.3 Act 663 (Transparency and Accountability)'],0
79,National Communicati ons Authority (NCA),Unknown,4.8,15.4,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.253)', 'supplier_risk_score decreases fraud risk (impact: 1.696)', 'entity_frequency increases fraud risk (impact: 1.105)']",['S.3 Act 663 (Transparency and Accountability)'],0
80,Office of the Attorney- General and Ministry of Justice,Volterra Fietta,0.9,4.9,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 3.892)', 'award_concentration decreases fraud risk (impact: 1.572)', 'entity_frequency increases fraud risk (impact: 0.906)']",['S.3 Act 663 (Transparency and Accountability)'],0
81,Minerals Income Investment Fund (MIIF),IMARA Corporate Finance SA,99.4,53.8,🔴 ESCALATE,"['Supplier holds 33.3% of entity awards — concentration risk', 'Supplier linked to 1 confirmed fraud case(s)', '2 of 3 contracts confirmed fraudulent (66% fraud rate)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score increases fraud risk (impact: 4.780)', 'award_concentration increases fraud risk (impact: 1.060)', 'method_abuse_score decreases fraud risk (impact: 0.470)']",['S.3 Act 663 (Transparency and Accountability)'],1
82,National Centre for Radiotherapy and Nuclear Medicine (NCRNM),Unknown,1.3,26.3,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 100.0% of entity awards — concentration risk', 'Procurement method abuse pattern detected (S.40-41 Act 663)', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% of contracts are sole source — systematic bypass of competition (S.40-41 Act 663)', 'Entity method abuse score: 1.00 — pattern of procurement rule circumvention', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.585)', 'supplier_risk_score decreases fraud risk (impact: 1.872)', 'is_sole_source decreases fraud risk (impact: 1.155)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.40-41 Act 663 (Procurement Method Abuse)', 'S.3 Act 663 (Transparency and Accountability)']",0
83,Ghana National Gas Company Ltd,Startrack International Ghana Limited,0.9,4.9,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 3.892)', 'award_concentration decreases fraud risk (impact: 1.572)', 'entity_frequency increases fraud risk (impact: 0.906)']",['S.3 Act 663 (Transparency and Accountability)'],0
84,Scholarship Secretariat,KLM Cargo,0.4,4.7,🟢 MONITOR,"['Supplier holds 66.7% of entity awards — concentration risk', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 3.897)', 'entity_frequency decreases fraud risk (impact: 0.833)', 'method_abuse_score decreases fraud risk (impact: 0.486)']",['S.3 Act 663 (Transparency and Accountability)'],0
85,Ghana Health Services (GHS),Information Governance Solutions (IGS),0.9,4.9,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 3.892)', 'award_concentration decreases fraud risk (impact: 1.572)', 'entity_frequency increases fraud risk (impact: 0.906)']",['S.3 Act 663 (Transparency and Accountability)'],0
86,University of Ghana (UG),Kingdom Books and Stationery Limited,0.6,6.2,🟢 MONITOR,"['Supplier appears in 1 Auditor-General finding(s)', '66% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 2.22 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 4.085)', 'entity_frequency decreases fraud risk (impact: 1.227)', 'award_concentration increases fraud risk (impact: 0.665)']",['S.92-93 Act 663 (Procurement Offences)'],0
87,Korle Bu Teaching Hospital (KBTH),Life Care Technology Limited and Paracelsus pharmacy Limited through sole source,1.1,12.9,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', '100% of awards were sole source — bypasses competition (S.38-41)', '42% sole source rate — above acceptable threshold (S.40-41 Act 663)', 'Entity method abuse score: 0.43 — pattern of procurement rule circumvention', '85% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 3.700)', 'entity_frequency decreases fraud risk (impact: 1.198)', 'award_concentration increases fraud risk (impact: 0.679)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.40-41 Act 663 (Procurement Method Abuse)']",0
88,Ghana National Petroleum Corporation (GNPC),Messrs. David Sharp as an expert witness,0.8,3.3,🟢 MONITOR,['Supplier holds 33.3% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 4.267)', 'award_concentration increases fraud risk (impact: 1.046)', 'supplier_frequency decreases fraud risk (impact: 0.925)']",['S.3 Act 663 (Transparency and Accountability)'],0
89,Scholarship Secretariat (SLA),Messrs Orcons Systems Limited,0.4,4.7,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
90,Ghana Police Service (GPS),University of Professional Studies (UPSA),0.9,4.9,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 3.892)', 'award_concentration decreases fraud risk (impact: 1.572)', 'entity_frequency increases fraud risk (impact: 0.906)']",['S.3 Act 663 (Transparency and Accountability)'],0
91,Korle Bu Teaching Hospital (KBTH),Unknown,3.1,18.2,🟢 MONITOR,"['Supplier holds 57.1% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '42% sole source rate — above acceptable threshold (S.40-41 Act 663)', 'Entity method abuse score: 0.43 — pattern of procurement rule circumvention', '85% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['entity_frequency decreases fraud risk (impact: 2.064)', 'supplier_risk_score decreases fraud risk (impact: 1.548)', 'method_abuse_score increases fraud risk (impact: 0.531)']","['S.40-41 Act 663 (Procurement Method Abuse)', 'S.3 Act 663 (Transparency and Accountability)']",0
92,Ghana Airports Company Limited (GACL),KNK Services Limited,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
93,Ghana Statistical Service (GSS),Mr. Andrews Fosuhene,0.8,3.3,🟢 MONITOR,['Supplier holds 50.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 4.182)', 'award_concentration decreases fraud risk (impact: 0.556)', 'method_abuse_score decreases fraud risk (impact: 0.548)']",['S.3 Act 663 (Transparency and Accountability)'],0
94,National Health Insurance Authority (NHIS),Messrs. SIP Consult Limited,1.0,14.2,🟢 MONITOR,"['Supplier holds 50.0% of entity awards — concentration risk', 'Entity variation abuse rate: 100.0%', '50% of contracts have variations — inflation risk', '100% of contracts are variations — systematic inflation pattern (S.87 Act 663)', '50% sole source rate — above acceptable threshold (S.40-41 Act 663)', 'Entity method abuse score: 0.50 — pattern of procurement rule circumvention']","['supplier_risk_score decreases fraud risk (impact: 4.426)', 'supplier_frequency decreases fraud risk (impact: 1.094)', 'method_abuse_score increases fraud risk (impact: 0.712)']","['S.40-41 Act 663 (Procurement Method Abuse)', 'S.87 Act 663 (Contract Variations)', 'S.3 Act 663 (Transparency and Accountability)']",0
95,Ghana Prisons Service (GPS),Coded Innovation Technology Services,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
96,National Health Insurance Authority (NHIS),Top Archive Limited,1.0,21.7,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 50.0% of entity awards — concentration risk', 'Entity variation abuse rate: 100.0%', '100% of awards were sole source — bypasses competition (S.38-41)', '100% of contracts have variations — inflation risk', '100% of contracts are variations — systematic inflation pattern (S.87 Act 663)', '50% sole source rate — above acceptable threshold (S.40-41 Act 663)', 'Entity method abuse score: 0.50 — pattern of procurement rule circumvention']","['supplier_risk_score decreases fraud risk (impact: 4.028)', 'supplier_frequency decreases fraud risk (impact: 1.094)', 'method_abuse_score increases fraud risk (impact: 0.676)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.40-41 Act 663 (Procurement Method Abuse)', 'S.87 Act 663 (Contract Variations)', 'S.3 Act 663 (Transparency and Accountability)']",0
97,Driver and Vehicle Licensing Authority (DVLA),Godking Agile Systems Limited,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
98,Ghana Statistical Service (GSS),Messrs. MM Global Ventures Limited (Mr. Martin Kwakye) as Consultant,0.2,3.1,🟢 MONITOR,['Supplier holds 50.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 4.290)', 'supplier_frequency decreases fraud risk (impact: 0.906)', 'award_concentration decreases fraud risk (impact: 0.597)']",['S.3 Act 663 (Transparency and Accountability)'],0
99,University of Environment and Sustainable Development (UESD),Messrs. ROPAT System Limited,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
100,Ministry of Finance (MoF),Chindit Defence Technologies LLP,0.9,15.9,🟢 MONITOR,"['Supplier appears in 1 Auditor-General finding(s)', '1 variation(s) independently flagged by Auditor-General', '1 sole source contract(s) flagged by Auditor-General', '2 of 13 contracts confirmed fraudulent (15% fraud rate)', '84% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Audit intensity score: 15.23 — entity under sustained scrutiny']","['supplier_risk_score decreases fraud risk (impact: 4.077)', 'entity_frequency decreases fraud risk (impact: 1.059)', 'award_concentration increases fraud risk (impact: 0.503)']",['S.92-93 Act 663 (Procurement Offences)'],0
101,Ministry of Lands and Natural Resources,Messrs. Ankamah Legal Consultancy,0.4,3.2,🟢 MONITOR,['Supplier holds 100.0% of entity awards — concentration risk'],"['supplier_risk_score decreases fraud risk (impact: 3.971)', 'award_concentration decreases fraud risk (impact: 1.229)', 'entity_frequency increases fraud risk (impact: 0.763)']",['S.3 Act 663 (Transparency and Accountability)'],0
102,Driver and Vehicle Licensing Authority,Unknown,1.3,26.3,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', 'Supplier holds 100.0% of entity awards — concentration risk', 'Procurement method abuse pattern detected (S.40-41 Act 663)', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% of contracts are sole source — systematic bypass of competition (S.40-41 Act 663)', 'Entity method abuse score: 1.00 — pattern of procurement rule circumvention', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.585)', 'supplier_risk_score decreases fraud risk (impact: 1.872)', 'is_sole_source decreases fraud risk (impact: 1.155)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.40-41 Act 663 (Procurement Method Abuse)', 'S.3 Act 663 (Transparency and Accountability)']",0
103,Ghana Tourism Authority,Unknown,1.8,14.2,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.323)', 'supplier_risk_score decreases fraud risk (impact: 1.718)', 'method_abuse_score decreases fraud risk (impact: 0.435)']",['S.3 Act 663 (Transparency and Accountability)'],0
104,Ghana Tourism Authority,Unknown,1.8,14.2,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.323)', 'supplier_risk_score decreases fraud risk (impact: 1.718)', 'method_abuse_score decreases fraud risk (impact: 0.435)']",['S.3 Act 663 (Transparency and Accountability)'],0
105,Ministry of Health (MoH),Unknown,3.9,18.6,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '50% sole source rate — above acceptable threshold (S.40-41 Act 663)', 'Entity method abuse score: 0.50 — pattern of procurement rule circumvention', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.657)', 'supplier_risk_score decreases fraud risk (impact: 1.539)', 'method_abuse_score increases fraud risk (impact: 0.521)']","['S.40-41 Act 663 (Procurement Method Abuse)', 'S.3 Act 663 (Transparency and Accountability)']",0
106,Minerals Income Investment Fund (MIIF),IMARA Corporate Finance (PTY) and Algebra Securities Ltd,2.7,9.1,🟢 MONITOR,"['Supplier holds 33.3% of entity awards — concentration risk', '2 of 3 contracts confirmed fraudulent (66% fraud rate)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['supplier_risk_score decreases fraud risk (impact: 4.160)', 'award_concentration increases fraud risk (impact: 1.194)', 'method_abuse_score decreases fraud risk (impact: 0.501)']",['S.3 Act 663 (Transparency and Accountability)'],0
107,Social Security and National Insurance Trust (SSNIT),Zirconia Enterprise Limited due,0.2,9.8,🟢 MONITOR,"['Sole source procurement used (S.38-41 Act 663)', '100% of awards were sole source — bypasses competition (S.38-41)', '100% of contracts have variations — inflation risk']","['supplier_risk_score decreases fraud risk (impact: 3.748)', 'entity_frequency decreases fraud risk (impact: 1.084)', 'supplier_frequency decreases fraud risk (impact: 0.848)']","['S.38-41 Act 663 (Sole Source Procurement)', 'S.87 Act 663 (Contract Variations)']",0
108,Social Security and National Insurance Trust (SSNIT),Unknown,5.6,11.2,🟢 MONITOR,"['Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)']","['entity_frequency decreases fraud risk (impact: 1.647)', 'supplier_risk_score decreases fraud risk (impact: 1.598)', 'award_concentration increases fraud risk (impact: 0.698)']",['No specific violations flagged'],0
109,Ministry of Health (MOH),Unknown,4.8,15.4,🟢 MONITOR,"['Supplier holds 100.0% of entity awards — concentration risk', 'Supplier linked to 7 confirmed fraud case(s)', 'Supplier appears in 12 Auditor-General finding(s)', '100% repeat supplier rate — limited supplier diversity (S.3 Act 663)']","['award_concentration decreases fraud risk (impact: 2.253)', 'supplier_risk_score decreases fraud risk (impact: 1.696)', 'entity_frequency increases fraud risk (impact: 1.105)']",['S.3 Act 663 (Transparency and Accountability)'],0
110,Ghana Gas,Messrs. Studio HD for the provision of Event Management Services,99.6,56.8,🔴 ESCALATE,"['Supplier linked to 1 confirmed fraud case(s)', 'Supplier appears in 1 Auditor-General finding(s)', '1 of 1 contracts confirmed fraudulent (100% fraud rate)', '100% of contracts flagged by Auditor-General — systemic oversight failure (S.2 Act 663)', 'Average supplier risk score: 1.00 — entity consistently awards to high-risk suppliers']","['supplier_risk_score increases fraud risk (impact: 5.035)', 'entity_frequency increases fraud risk (impact: 0.744)', 'supplier_frequency decreases fraud risk (impact: 0.522)']",['S.92-93 Act 663 (Procurement Offences)'],1
111,Bulk Oil Storage and Transportatio n Company Limited (BOST),Messrs Keikins Logistics Limited,0.3,1.6,🟢 MONITOR,['25% variation rate — elevated above normal threshold'],"['supplier_risk_score decreases fraud risk (impact: 4.091)', 'supplier_frequency decreases fraud risk (impact: 1.042)', 'method_abuse_score decreases fraud risk (impact: 0.626)']",['No specific violations flagged'],0
112,Bulk Oil Storage and Transportatio n Company Limited (BOST),Messrs. Treatol Ghana Limited,0.3,1.6,🟢 MONITOR,['25% variation rate — elevated above normal threshold'],"['supplier_risk_score decreases fraud risk (impact: 4.091)', 'supplier_frequency decreases fraud risk (impact: 1.042)', 'method_abuse_score decreases fraud risk (impact: 0.626)']",['No specific violations flagged'],0
